"ISSN","ISSN_L","ISSN_IN_DOAJ","ISSN_IN_ROAD","ISSN_IN_PMC","ISSN_IN_OAPC","ISSN_IN_WOS","ISSN_IN_SCOPUS","JOURNAL_IN_DOAJ","JOURNAL_IN_ROAD","JOURNAL_IN_PMC","JOURNAL_IN_OAPC","JOURNAL_IN_WOS","JOURNAL_IN_SCOPUS","TITLE","TITLE_SOURCE"
"0803-2491","0803-2491",1,0,0,0,0,1,1,0,0,0,0,1,"Norsk Epidemiologi","DOAJ"
"0809-6724","0809-6724",1,0,0,0,0,1,1,0,0,0,0,1,"Nordic Journal of Digital Literacy ","DOAJ"
"0816-9020","0816-9020",1,0,0,0,0,1,1,0,0,0,0,1,"Australian Educational Computing","DOAJ"
"0835-7900","0835-7900",1,0,0,0,1,1,1,0,0,0,1,1,"Canadian Journal of Gastroenterology","DOAJ"
"0852-100X","0852-100X",1,0,0,0,0,0,1,0,0,0,0,0,"Mimbar Hukum","DOAJ"
"0852-6834","0852-6834",1,0,0,0,0,0,1,0,0,0,0,0,"Journal of Biological Researches","DOAJ"
"0852-9213","0852-9213",1,0,0,0,0,0,1,0,0,0,0,0,"JKAP (Jurnal Kebijakan dan Administrasi Publik)","DOAJ"
"0853-5167","0853-5167",1,0,0,0,0,0,1,0,0,0,0,0,"Habitat","DOAJ"
"0853-8980","0853-8980",1,0,0,0,0,0,1,0,0,0,0,0,"Indonesian Fisheries Research Journal","DOAJ"
"0853-9847","0853-9847",1,0,0,0,0,0,1,0,0,0,0,0,"Jurnal Perencanaan Wilayah dan Kota","DOAJ"
"0854-8919","0854-8919",1,0,0,0,0,0,1,0,0,0,0,0,"Jurnal Media Hukum","DOAJ"
"0861-6663","0861-6663",0,1,0,0,0,1,1,1,0,0,0,1,"Journal of Theoretical and Applied Mechanics","DOAJ"
"0864-2176","0864-2176",1,1,0,0,0,0,1,1,0,0,0,0,"Revista Cubana de Oftalmología","DOAJ"
"0864-4551","0864-4551",1,0,0,0,0,1,1,0,0,0,0,1,"Biotecnología Aplicada","DOAJ"
"0870-6182","0870-6182",1,0,0,0,0,1,1,0,0,0,0,1,"Ler História","DOAJ"
"0871-164X","0871-164X",1,0,0,0,0,0,1,0,0,0,0,0,"História - Revista da Faculdade de Letras da Universidade do Porto","DOAJ"
"0873-1233","0873-1233",1,0,0,0,0,0,1,0,0,0,0,0,"Via Spiritus : Revista de História da Espiritualidade e do Sentimento Religioso","DOAJ"
"0873-6561","0873-6561",1,1,0,0,0,1,1,1,0,0,0,1,"Etnográfica: Revista do Centro em Rede de Investigação em Antropologia","DOAJ"
"0874-1409","0874-1409",1,0,0,0,0,0,1,0,0,0,0,0,"Op. Cit.: Revista de Estudos Anglo-Americanos / A Journal of Anglo-American Studies","DOAJ"
"0966-7903","0966-7903",1,0,0,0,1,1,1,0,0,0,1,1,"Occupational Therapy International","DOAJ"
"0970-4388","0970-4388",1,1,0,0,0,1,1,1,0,0,0,1,"Journal of the Indian Society of Pedodontics and Preventive Dentistry","DOAJ"
"0971-0426","0971-0426",1,1,0,0,1,1,1,1,0,0,1,1,"Indian Journal of Fibre & Textile Research","DOAJ"
"0971-653X","0971-653X",1,0,0,0,0,0,1,0,0,0,0,0,"Indian Journal of Burns","DOAJ"
"0971-7749","0971-7749",1,1,0,0,0,1,1,1,0,0,0,1,"Indian Journal of Otology","DOAJ"
"0972-1363","0972-1363",1,0,0,0,0,0,1,0,0,0,0,0,"Journal of Indian Academy of Oral Medicine and Radiology","DOAJ"
"0972-5229","0972-5229",1,1,1,0,0,1,1,1,1,0,0,1,"Indian Journal of Critical Care Medicine","DOAJ"
"0972-8600","0972-8600",1,0,0,0,0,1,1,0,0,0,0,1,"AKCE International Journal of Graphs and Combinatorics","DOAJ"
"0973-3922","0378-6323",1,1,0,0,1,1,1,1,0,0,1,1,"Indian Journal of Dermatology, Venereology and Leprology","DOAJ"
"0974-1208","1998-4766",1,0,1,0,0,1,1,1,1,0,0,1,"Journal of Human Reproductive Sciences","DOAJ"
"0974-2727","0974-2727",1,1,1,0,0,0,1,1,1,0,0,0,"Journal of Laboratory Physicians","DOAJ"
"0974-5181","0971-9784",1,1,1,0,0,1,1,1,1,0,0,1,"Annals of Cardiac Anaesthesia","DOAJ"
"0974-6773","1477-3163",1,0,0,0,0,1,1,1,1,0,0,1,"Journal of Carcinogenesis","DOAJ"
"0974-7893","0974-7893",1,1,0,0,0,1,1,1,0,0,0,1,"Journal of Threatened Taxa","DOAJ"
"0975-1025","0971-0426",1,1,0,0,1,0,1,1,0,0,1,1,"Indian Journal of Fibre & Textile Research","DOAJ"
"0975-1572","0972-1363",1,0,0,0,0,0,1,0,0,0,0,0,"Journal of Indian Academy of Oral Medicine and Radiology","DOAJ"
"0975-3133","0972-4923",1,1,0,0,1,1,1,1,0,0,1,1,"Conservation & Society","DOAJ"
"0975-8151","0975-8151",1,0,0,0,0,0,1,0,0,0,0,0,"Journal of Proteins and Proteomics","DOAJ"
"0975-9476","0975-9476",1,1,1,0,0,1,1,1,1,0,0,1,"Journal of Ayurveda and Integrative Medicine","DOAJ"
"0976-2094","0976-2094",1,1,1,0,0,1,1,1,1,0,0,1,"Journal of Advanced Pharmaceutical Technology & Research","DOAJ"
"0976-2809","0975-9476",1,1,1,0,0,1,1,1,1,0,0,1,"Journal of Ayurveda and Integrative Medicine","DOAJ"
"0976-6561","0976-6561",1,0,0,0,0,0,1,0,0,0,0,0,"ICTACT Journal on Soft Computing","DOAJ"
"0976-7800","0976-7800",1,1,1,0,0,0,1,1,1,0,0,0,"Journal of Mid-Life Health","DOAJ"
"0987-6014","0987-6014",1,0,0,0,0,0,1,0,0,0,0,0,"Netcom","DOAJ"
"1000-4556","1000-4556",1,0,0,0,0,0,1,0,0,0,0,0,"Chinese Journal of Magnetic Resonance","DOAJ"
"1000-5137","1000-5137",1,0,0,0,0,0,1,0,0,0,0,0,"Journal of Shanghai Normal University (Natural Sciences)","DOAJ"
"1001-9014","1001-9014",1,0,0,0,1,1,1,0,0,0,1,1,"Journal of Infrared and Millimeter Waves ","DOAJ"
"2322-4169","2322-4169",1,0,0,0,0,0,1,0,0,0,0,0,"Medical-Surgical Nursing Journal","DOAJ"
"2330-6696","2330-6696",1,0,0,0,0,0,1,0,0,0,0,0,"Sociological Science","DOAJ"
"2333-3936","2333-3936",1,0,1,0,0,0,1,0,1,0,0,0,"Global Qualitative Nursing Research","DOAJ"
"2335-1357","2335-1357",1,0,0,0,0,0,1,0,0,0,0,0,"Mediterranean Journal of Modeling and Simulation","DOAJ"
"2338-6770","2085-9910",1,1,0,0,0,0,1,1,0,0,0,0,"Resital: Jurnal Seni Pertunjukan","DOAJ"
"2341-3042","2341-1414",1,0,0,0,0,0,1,0,0,0,0,0,"Quaderns de Filosofia","DOAJ"
"2345-184X","2345-1262",1,1,0,0,0,0,1,1,0,0,0,0,"Plural: History, Culture, Society","DOAJ"
"2345-3575","2345-3575",1,1,0,0,0,0,1,1,0,0,0,0,"Faṣlnāmah-i Pizhūhish-i Huqūq-i Kiyfarī","DOAJ"
"2345-6140","2345-6140",1,1,0,0,0,0,1,1,0,0,0,0,"Faṣlnāmah-i Pizhūhish/hā-yi Rāhburdī-i Siyāsat","DOAJ"
"2349-2570","2349-2562",1,1,0,0,0,0,1,1,0,0,0,0,"Journal of Evidence Based Medicine and Healthcare","DOAJ"
"2351-9797","2351-9797",1,1,0,0,0,0,1,1,0,0,0,0,"Advances in Digestive Medicine","DOAJ"
"2353-8503","2353-8414",1,0,0,0,0,0,1,1,0,0,0,0,"Marketing of Scientific and Research Organisations","DOAJ"
"2355-0341","2355-0341",1,0,0,0,0,0,1,0,0,0,0,0,"Libraria: Jurnal Perpustakaan","DOAJ"
"2355-3596","2355-3596",1,0,0,0,0,0,1,0,0,0,0,0,"KEMAS: Jurnal Kesehatan Masyarakat","DOAJ"
"2355-813X","2355-813X",1,1,0,0,0,0,1,1,0,0,0,0,"Ar-Raniry: International Journal of Islamic Studies","DOAJ"
"2356-6779","2314-792X",1,0,0,0,0,0,1,0,0,0,0,0,"Advances in Nephrology","DOAJ"
"2356-7503","2314-6893",1,0,0,0,0,0,1,0,0,0,0,0,"Journal of Nonlinear Dynamics","DOAJ"
"2359-5639","2359-5639",1,1,0,0,0,0,1,1,0,0,0,0,"Revista de Investigações Constitucionais","DOAJ"
"2368-8076","1181-912X",1,0,0,0,0,0,1,0,0,0,0,1,"Canadian Oncology Nursing Journal","DOAJ"
"2373-275X","2373-275X",1,1,0,0,0,0,1,1,0,0,0,0,"Bearing Witness: Joyce Carol Oates Studies","DOAJ"
"2373-6658","2373-6658",1,0,0,0,0,1,1,0,0,0,0,1,"Asian/Pacific Island Nursing Journal","DOAJ"
"2373-8154","2373-8154",1,0,0,0,0,0,1,0,0,0,0,0,"Journal on Best Teaching Practices","DOAJ"
"2374-4669","2374-4669",1,0,0,0,0,0,1,0,0,0,0,0,"People Living with And Inspired by Diabetes","DOAJ"
"2375-1576","2375-155X",1,0,0,0,0,0,1,0,0,0,0,0,"AIMS Medical Science","DOAJ"
"2375-2092","2375-2084",1,0,0,0,0,0,1,0,0,0,0,0,"Interdisciplinary Journal of e-Skills and Lifelong Learning ","DOAJ"
"2375-4079","2309-303X",1,0,0,0,0,0,1,0,0,0,0,0,"Global Journal of Geriatrics Nursing","DOAJ"
"2376-0621","2376-0621",1,0,0,0,0,0,1,0,0,0,0,0,"Andrews University Seminary Student Journal","DOAJ"
"2376-6808","2376-6808",1,0,0,0,0,0,1,0,0,0,0,0,"Neotropical Biodiversity","DOAJ"
"2376-905X","2376-905X",1,0,0,0,0,0,1,0,0,0,0,0,"EuroAmerican Journal of Applied Linguistics and Languages","DOAJ"
"2377-2808","2377-2808",1,0,0,0,0,0,1,0,0,0,0,0,"TOFIQ Journal of Medical Sciences","DOAJ"
"2377-8261","2377-8253",1,0,0,0,0,0,1,0,0,0,0,0,"RSF: The Russell Sage Foundation Journal of the Social Sciences","DOAJ"
"2378-2706","2378-2706",1,0,0,0,0,0,1,0,0,0,0,0,"The VAD Journal: The Journal of Mechanical Assisted Circulation and Heart Failure","DOAJ"
"2378-8038","2378-8038",1,1,0,0,0,0,1,1,0,0,0,0,"Laryngoscope Investigative Otolaryngology","DOAJ"
"2444-0132","2444-0132",1,0,0,0,0,0,1,0,0,0,0,0,"Dígitos","DOAJ"
"2444-7080","0213-2087",0,1,0,0,0,0,1,1,0,0,0,1,"Studia Historica: Historia Contemporánea","DOAJ"
"2444-8729","2444-8729",1,0,0,0,0,1,1,0,0,0,0,1,"Education in the Knowledge Society","DOAJ"
"2444-9091","2444-9091",1,1,0,0,0,0,1,1,0,0,0,0,"Vitruvio: International Journal of Architectural Technology and Sustainability","DOAJ"
"2445-0782","1131-5350",0,1,0,0,0,0,1,1,0,0,0,0,"Sancho el Sabio: Revista de Investigación Vasca-Euskal Ikerketa Aldizkaria","DOAJ"
"2446-5496","2446-5496",1,0,0,0,0,0,1,0,0,0,0,0,"Revista Desenvolvimento Socioeconômico em Debate","DOAJ"
"2446-6875","1807-5436",1,1,0,0,0,0,1,1,0,0,0,0,"Revista Gestão e Desenvolvimento","DOAJ"
"2446-8622","2446-8622",1,0,0,0,0,0,1,0,0,0,0,0,"Revista de Micro e Pequenas Empresas e Empreendedorismo da Fatec-Osasco","DOAJ"
"2446-9513","2446-9513",1,0,0,0,0,0,1,0,0,0,0,0,"Revista Eletrônica do Departamento de Ciências Contábeis & Departamento de Atuária e Métodos Quantitativos","DOAJ"
"2447-4266","2447-4266",1,1,0,0,0,0,1,1,0,0,0,0,"Revista Observatório","DOAJ"
"2447-5467","2447-5467",1,0,0,0,0,0,1,0,0,0,0,0,"Revista de Estudos Institucionais","DOAJ"
"2447-892X","2447-892X",1,0,0,0,0,0,1,0,0,0,0,0,"Revista Insiet","DOAJ"
"2447-942X","2447-942X",1,0,0,0,0,0,1,0,0,0,0,0,"Revista Hydra","DOAJ"
"2448-0452","2448-0452",1,0,0,0,0,0,1,0,0,0,0,0,"Revista Eletrônica Competências Digitais para Agricultura Familiar","DOAJ"
"2448-1939","2448-1939",1,1,0,0,0,0,1,1,0,0,0,0,"Prâksis","DOAJ"
"2448-3052","2448-3052",1,0,0,0,0,0,1,0,0,0,0,0,"Revista de Gestão e Negócios do Esporte","DOAJ"
"2448-5179","0185-2574",0,1,0,0,0,0,1,1,0,0,0,1,"Estudios de Cultura Maya","DOAJ"
"2528-1194","2528-1194",1,0,0,0,0,0,1,0,0,0,0,0,"Indonesian Journal of Islamic Literature and Muslim Society","DOAJ"
"2528-1976","2442-515X",1,0,0,0,0,0,1,0,0,0,0,0,"Gravity: Jurnal Ilmiah Penelitian dan Pembelajaran Fisika","DOAJ"
"2528-2611","2528-2611",1,0,0,0,0,0,1,0,0,0,0,0,"Vanos: Journal of Mechanical Engineering Education","DOAJ"
"2528-3383","2086-7549",1,0,0,0,0,0,1,0,0,0,0,0,"Jurisdictie: Jurnal Hukum dan Syariah","DOAJ"
"2528-4479","2477-5304",1,0,0,0,0,0,1,0,0,0,0,0,"Edulite: Journal of English Education, Literature, and Culture","DOAJ"
"2528-5149","2460-7819",1,0,0,0,0,0,1,1,0,0,0,0,"Jurnal Aplikasi Bisnis dan Manajemen","DOAJ"
"1844-7007","1844-7007",1,0,0,0,0,0,1,0,0,0,0,0,"Analele Universităţii Constantin Brâncuşi din Târgu Jiu : Seria Economie ","DOAJ"
"1844-8836","1844-8836",1,0,0,0,0,0,1,0,0,0,0,0,"Messages, Sages and Ages","DOAJ"
"1845-6707","1845-6707",1,0,0,0,0,0,1,0,0,0,0,0,"Anali Hrvatskog Politološkog Društva","DOAJ"
"1846-3312","1846-3312",1,1,0,0,0,1,1,1,0,0,0,1,"Journal of Information and Organizational Sciences ","DOAJ"
"1846-4025","0026-704X",1,0,0,0,0,1,1,0,0,0,1,1,"Mljekarstvo","DOAJ"
"1846-7520","1331-8004",1,1,0,0,0,1,1,1,0,0,1,1,"Zbornik radova Ekonomskog fakulteta u Rijeci : časopis za ekonomsku teoriju i praksu","DOAJ"
"1848-9931","1848-0225",1,0,0,0,0,0,1,0,0,0,1,0,"Croatian Operational Research Review","DOAJ"
"1849-0379","1331-6745",1,1,0,0,0,0,1,1,0,0,0,1,"Rasprave: Časopis Instituta za Hrvatski Jezik i Jezikoslovlje","DOAJ"
"1849-4544","1849-4544",1,0,0,0,0,0,1,0,0,0,0,0,"Journal of Circulating Biomarkers","DOAJ"
"1850-1885","1850-1885",1,1,0,0,0,0,1,1,0,0,0,0,"Geograficando","DOAJ"
"1850-9959","1850-9959",1,0,0,0,0,0,1,0,0,0,0,0,"Revista Iberoamericana de Tecnología en Educación y Educación en Tecnología","DOAJ"
"1851-3018","0370-5404",1,1,0,0,0,0,1,1,0,0,0,0,"Revista Industrial y Agrícola de Tucumán","DOAJ"
"2035-4630","2035-4630",1,0,0,0,0,0,1,0,0,0,0,0,"International Journal of Psychoanalysis and Education","DOAJ"
"2035-7982","2035-7982",1,0,0,0,0,0,1,0,0,0,0,0,"EdA Esempi di Architettura","DOAJ"
"2035-8385","2035-8385",1,1,1,0,0,1,1,1,1,0,0,1,"Neurology International","DOAJ"
"2036-2579","1826-1868",1,1,1,0,0,1,1,1,1,0,0,1,"Heart International","DOAJ"
"2036-3613","2036-3605",1,1,1,0,0,1,1,1,1,0,0,1,"Rare Tumors","DOAJ"
"2036-5438","2036-5438",1,0,0,0,0,1,1,0,0,0,0,1,"Perspectives on Federalism","DOAJ"
"2036-5683","2036-5462",1,0,0,0,0,0,1,1,0,0,0,0,"Topologik : Rivista Internazionale di Scienze Filosofiche, Pedagogiche e Sociali","DOAJ"
"2037-2485","2037-2485",1,1,0,0,0,0,1,1,0,0,0,0,"Archeomatica","DOAJ"
"2037-5298","0373-3505",1,1,0,0,0,0,1,1,0,0,0,0,"Le Matematiche","DOAJ"
"2037-7460","2037-7452",1,1,1,0,1,0,1,1,1,0,1,0,"European Journal of Translational Myology","DOAJ"
"2038-324X","2038-324X",1,1,0,0,0,1,1,1,0,0,0,1,"Journal of Entomological and Acarological Research","DOAJ"
"2038-8411","2038-8411",1,1,0,0,0,0,1,1,0,0,0,0,"Ricerche di S/Confine","DOAJ"
"2038-9663","2038-9655",1,0,0,0,0,0,1,0,0,0,0,0,"Research in Geophysics","DOAJ"
"2038-9701","2038-9698",1,1,0,0,0,0,1,1,0,0,0,0,"Veterinary Science Development","DOAJ"
"2039-0114","2039-0114",1,1,0,0,0,0,1,1,0,0,0,0,"Parole Rubate : Rivista Internazionale di Studi sulla Citazione  ","DOAJ"
"2039-2362","2039-2362",1,1,0,0,0,0,1,1,0,0,0,0,"Il Capitale Culturale: Studies on the Value of Cultural Heritage","DOAJ"
"2039-4705","2039-4705",0,1,0,0,0,0,1,1,0,0,0,0,"Journal of Xenobiotics","DOAJ"
"2039-6597","2039-6597",1,1,0,0,0,0,1,1,0,0,0,0,"Between","DOAJ"
"2167-8677","2167-8677",1,0,0,0,0,0,1,0,0,0,0,0,"Dentistry 3000","DOAJ"
"2167-9835","2167-9835",1,0,0,0,0,0,1,0,0,0,0,0,"Research in Sierra Leone Studies : Weave","DOAJ"
"2168-3344","0889-3667",1,1,0,0,0,1,1,1,0,0,0,1,"International Journal of Comparative Psychology","DOAJ"
"2168-9083","2168-9083",1,1,0,0,0,0,1,1,0,0,0,0,"Journal of Research Initiatives","DOAJ"
"2169-3277","2169-3277",1,0,0,0,0,1,1,0,0,0,0,1,"Production and Manufacturing Research: An Open Access Journal","DOAJ"
"2169-7574","2169-7574",1,0,1,1,0,0,1,0,1,1,0,0,"Plastic and Reconstructive Surgery, Global Open","DOAJ"
"2171-2069","2171-2069",1,1,0,0,0,1,1,1,0,0,0,1,"Revista Iberoamericana de Psicología y Salud","DOAJ"
"2171-9098","0214-4824",1,1,0,0,0,0,1,1,0,0,0,0,"Ensayos","DOAJ"
"2171-9845","2171-5068",1,1,0,0,1,0,1,1,0,0,1,1,"Forest Systems","DOAJ"
"2172-5063","1888-7546",1,1,0,0,0,0,1,1,0,0,0,1,"Revista Andaluza de Medicina del Deporte","DOAJ"
"2175-294X","0104-1320",1,0,0,0,0,0,1,0,0,0,0,0,"Revista Investigações","DOAJ"
"2175-3423","2175-3423",1,1,0,0,0,0,1,1,0,0,0,0,"Revista Brasileira de História & Ciências Sociais","DOAJ"
"2175-5027","2175-5027",1,0,0,0,0,0,1,0,0,0,0,0,"Revista de Psicologia da IMED","DOAJ"
"2175-5825","2175-5825",1,1,0,0,0,0,1,1,0,0,0,0,"Future Studies Research Journal: Trends and Strategies","DOAJ"
"2175-6783","1517-3852",1,0,0,0,0,0,1,0,0,0,0,0,"Revista da Rede de Enfermagem do Nordeste","DOAJ"
"2175-8026","0101-4846",1,1,0,0,0,1,1,1,0,0,0,1,"Ilha do Desterro ","DOAJ"
"2175-8077","1516-3865",1,1,0,0,0,0,1,1,0,0,0,0,"Revista de Ciências da Administração : RCA","DOAJ"
"2176-1043","1415-9902",1,1,0,0,0,0,1,1,0,0,0,0,"Educação & Linguagem","DOAJ"
"2176-4786","0102-5198",1,1,0,0,0,0,1,1,0,0,0,0,"Boletim de Geografia","DOAJ"
"2176-6231","2176-6231",1,0,0,0,0,0,1,0,0,0,0,0,"Revista Eletrônica CoMtempo","DOAJ"
"2176-8501","2176-8501",1,1,0,0,0,0,1,1,0,0,0,0,"Conhecimento Online","DOAJ"
"2277-2928","2277-2928",1,0,0,0,0,0,1,0,0,0,0,0,"International Journal of Phytopharmacy","DOAJ"
"2277-6672","2277-4696",1,0,0,0,0,0,1,0,0,0,0,0,"Journal of Dental and Allied Sciences","DOAJ"
"2277-9183","2277-9183",1,0,0,0,0,0,1,0,0,0,0,0,"International Journal of Environmental Health Engineering ","DOAJ"
"2278-0513","2278-0513",1,1,0,0,0,0,1,1,0,0,0,0,"Clinical Cancer Investigation Journal","DOAJ"
"2278-344X","2278-344X",1,0,0,0,0,0,1,0,0,0,0,0,"International Journal of Health & Allied Sciences","DOAJ"
"2278-7100","2278-7100",1,0,1,0,0,0,1,0,1,0,0,0,"Nigerian Journal of Surgery","DOAJ"
"2218-273X","2218-273X",1,1,1,1,0,1,1,1,1,1,0,1,"Biomolecules","DOAJ"
"2413-4414","0253-0759",0,1,0,0,0,0,0,1,0,0,0,0,"The Medical journal of Basrah University.","ROAD"
"2314-4637","2314-4637",1,1,0,0,0,0,1,1,0,0,0,0,"ISRN Genomics","DOAJ"
"2450-5927","2450-5927",0,1,0,0,0,0,0,1,0,0,0,0,"Journal of Health Inequalities.","ROAD"
"2407-7542","1412-1190",1,0,0,0,0,0,1,0,0,0,0,0,"Jurnal Ilmiah Islam Futura","DOAJ"
"2494-3266","2494-3266",0,1,0,0,0,0,0,1,0,0,0,0,"Plongée avec Pline l'Ancien.","ROAD"
"2500-302X","1681-9004",0,1,0,0,0,0,0,1,0,0,0,0,"Litosfera.","ROAD"
"2477-0361","1693-7740",1,1,0,0,0,0,1,1,0,0,0,0,"Berkala Ilmu Perpustakaan dan Informasi","DOAJ"
"2341-2216","2341-2216",1,0,0,0,0,0,1,0,0,0,0,0,"Revista de Derecho Civil","DOAJ"
"2520-7067","2520-7067",0,1,0,0,0,0,0,1,0,0,0,0,"Umlando.","ROAD"
"2550-9349","2550-9349",0,1,0,0,0,0,0,1,0,0,0,0,"Vêtement & textile.","ROAD"
"1941-2258","1941-2258",1,1,0,0,0,0,1,1,0,0,0,0,"Transformative Works and Cultures ","DOAJ"
"0211-2515","0211-2515",0,1,0,0,0,0,0,1,0,0,0,0,"Endins.","ROAD"
"0718-9508","0718-9508",0,1,0,0,0,0,0,1,0,0,1,1,"Journal of soil science and plant nutrition.","ROAD"
"2000-4214","2000-4214",1,1,0,0,0,1,1,1,0,0,0,1,"Journal of Aesthetics & Culture","DOAJ"
"2085-3297","2085-3297",1,0,0,0,0,0,1,0,0,0,0,0,"Indonesian Biomedical Journal","DOAJ"
"1177-2484","1177-2484",0,1,0,0,0,1,0,1,0,0,0,1,"Journal of men, masculinities and spirituality.","ROAD"
"1808-2688","1808-2688",0,1,0,0,0,0,0,1,0,0,0,0,"Balduinia.","ROAD"
"2508-7150","1976-6300",0,1,0,0,0,0,0,1,0,0,0,0,"Hanggong uju siseutem gonghak hoeji (Online)","ROAD"
"2232-0482","2232-0474",1,0,0,0,0,1,1,0,0,0,0,1,"Global Journal Al-Thaqafah","DOAJ"
"1696-0866","1696-0866",0,1,0,0,0,0,0,1,0,0,0,0,"Revista de economía crítica.","ROAD"
"2250-5555","1852-6586",1,1,0,0,0,0,1,1,0,0,0,0,"RevIISE","DOAJ"
"2318-8499","2318-8499",1,1,0,0,0,0,1,1,0,0,0,0,"Agenda Política","DOAJ"
"1821-0147","1821-0147",0,1,0,0,0,0,0,1,0,0,0,0,"Primenjena psihologija","ROAD"
"1841-4451","1841-4451",0,1,0,0,0,0,0,1,0,0,0,0,"Romanian Military Thinking.","ROAD"
"2177-2894","1517-6312",1,1,0,0,0,0,1,1,0,0,0,0,"Revista Thema","DOAJ"
"1957-7850","0399-0346",0,1,0,0,0,0,0,1,0,0,0,0,"Journal des africanistes.","ROAD"
"1999-9429","1999-9429",0,1,0,0,0,0,0,1,0,0,0,0,"Izvestiâ ÛFU.","ROAD"
"2223-4861","0253-5777",1,0,0,0,0,0,1,0,0,0,0,0,"Centro Azúcar","DOAJ"
"2062-3119","2062-3119",0,1,0,0,0,0,0,1,0,0,0,0,"Studies in political science","ROAD"
"2090-8806","2090-8806",1,1,0,0,0,0,1,1,0,0,0,0,"ISRN Robotics","DOAJ"
"2256-5485","0120-159X",1,1,0,0,0,0,1,1,0,0,0,0,"Revista Colombiana de Sociología","DOAJ"
"2150-5802","0041-5715",0,1,0,0,0,0,0,1,0,0,0,0,"Ufahamu","ROAD"
"2199-5737","1407-981X",0,1,0,0,0,0,0,1,0,0,0,0,"Acta chirurgica latviensis.","ROAD"
"2232-9633","2232-8823",0,1,0,0,0,0,0,1,0,0,0,0,"Časopis za ekonomiju i tržišne komunikacije.","ROAD"
"2090-0430","2090-0430",1,1,1,1,0,1,1,1,1,1,0,1,"Autoimmune Diseases","DOAJ"
"2407-3733","2407-3733",1,0,0,0,0,0,1,0,0,0,0,0,"Jurnal Sain Veteriner","DOAJ"
"2412-9771","2412-897X",0,0,0,0,0,0,0,1,0,0,0,0,"Scholars bulletin.","ROAD"
"2090-7478","2090-7478",1,1,1,0,0,0,1,1,1,0,0,0,"ISRN Microbiology","DOAJ"
"2212-2761","2212-2761",0,1,1,0,0,0,0,1,1,0,0,0,"Perspectives on medical education.","ROAD"
"0008-7629","0008-7629",1,0,0,0,0,0,1,0,0,0,0,0,"Catalogue and Index","DOAJ"
"0101-9562","0101-9562",1,1,0,0,0,0,1,1,0,0,0,0,"Sequência: Estudos Juridicos e Politicos","DOAJ"
"0124-7255","0124-7255",0,1,0,0,0,0,0,1,0,0,0,0,"Dixi.","ROAD"
"0350-7149","0350-7149",0,1,0,0,0,0,0,1,0,0,0,0,"Veterinarska stanica","ROAD"
"0718-0586","0718-0586",0,1,0,0,0,0,0,1,0,0,0,0,"Cuadernos interculturales.","ROAD"
"0719-5370","0718-9575",1,1,0,0,0,0,1,1,0,0,0,0,"Investigaciones Geográficas","DOAJ"
"0975-1068","0972-5938",0,1,0,0,1,0,0,1,0,0,1,1,"Indian journal of traditional knowledge.","ROAD"
"1229-5620","1229-5620",0,1,0,0,0,0,0,1,0,0,0,0,"Munhak-gwa jonggyo","ROAD"
"1309-0844","1309-0844",0,1,0,0,0,0,0,1,0,0,0,0,"Selçuk tıp dergisi.","ROAD"
"1339-875X","1339-6773",0,1,0,0,0,0,0,1,0,0,0,0,"European Journal of Social and Human Sciences.","ROAD"
"1390-9479","1390-9479",0,1,0,0,0,0,0,1,0,0,0,0,"Patrimonium (En línea)","ROAD"
"1445-6230","1445-6230",0,1,0,0,0,0,0,1,0,0,0,0,"QUT law and justice journal.","ROAD"
"1494-4936","1494-4936",1,1,0,0,0,0,1,1,0,0,0,0,"Encounters in Theory and History of Education","DOAJ"
"1582-5949","1582-5949",1,1,0,0,0,0,1,1,0,0,0,0,"Annals of the University of Petrosani: Economics","DOAJ"
"1613-9623","1613-9615",0,1,0,0,0,0,0,1,0,0,0,0,"Journal of business chemistry.","ROAD"
"1647-7316","1647-6158",1,1,0,0,0,0,1,1,0,0,0,0,"ESTUDIO","DOAJ"
"1687-8574","1687-8574",0,1,0,0,0,0,0,1,0,0,0,0,"Tanta Dental Journal.","ROAD"
"1708-489X","1708-489X",0,1,0,0,0,0,0,1,0,0,0,0,"First peoples child & family review.","ROAD"
"1007-2683","1007-2683",1,0,0,0,0,0,1,0,0,0,0,0,"Journal of Harbin University of Science and Technology","DOAJ"
"1010-9919","1010-9919",1,0,0,0,0,0,1,0,0,0,0,0,"Old Testament Essays","DOAJ"
"1012-2346","1012-2346",1,1,0,0,0,1,1,1,0,0,0,1,"Pythagoras","DOAJ"
"1013-1922","1013-1922",1,1,0,0,0,0,1,1,0,0,0,0,"Bangladesh Agronomy Journal","DOAJ"
"1023-6090","1023-6090",1,1,0,0,0,1,1,1,0,0,0,1,"Journal für Urologie und Urogynäkologie","DOAJ"
"1025-0247","1025-0247",1,0,0,0,0,0,1,0,0,0,0,0,"Agrisost","DOAJ"
"1025-4285","1025-4285",1,0,0,0,0,0,1,0,0,0,0,0,"Scientific Journal of Hamadan University of Medical Sciences","DOAJ"
"1025-9848","1025-9848",1,1,0,0,0,1,1,1,0,0,0,1,"Health SA Gesondheid: Journal of Interdisciplinary Health Sciences","DOAJ"
"1026-7123","1026-7123",0,1,0,1,0,0,1,1,0,1,1,1,"VLSI Design","DOAJ"
